time,x,y,z
2.154,0.068,0.113,1.051
2.155,0.073,0.109,1.040
2.158,0.073,0.112,1.043
2.162,0.076,0.112,1.035
2.166,0.079,0.116,1.023
2.170,0.075,0.115,1.011
2.174,0.077,0.121,0.996
2.178,0.076,0.123,0.982
2.182,0.078,0.125,0.971
2.186,0.078,0.129,0.959
2.190,0.075,0.126,0.946
2.194,0.075,0.129,0.936
2.198,0.075,0.133,0.926
2.202,0.076,0.136,0.919
2.205,0.075,0.134,0.921
2.209,0.075,0.137,0.913
2.214,0.073,0.145,0.915
2.223,0.072,0.143,0.918
2.225,0.065,0.147,0.915
2.226,0.065,0.148,0.914
2.229,0.061,0.151,0.919
2.240,0.063,0.149,0.923
2.240,0.064,0.154,0.928
2.244,0.063,0.145,0.937
2.246,0.061,0.139,0.945
2.249,0.065,0.129,0.955
2.257,0.066,0.128,0.961
2.257,0.067,0.118,0.966
2.261,0.067,0.121,0.974
2.265,0.078,0.115,0.977
2.269,0.074,0.114,0.978
2.273,0.074,0.110,0.985
2.277,0.073,0.109,0.981
2.281,0.074,0.113,0.979
2.286,0.075,0.109,0.983
2.289,0.072,0.105,0.982
2.292,0.071,0.112,0.976
2.297,0.072,0.110,0.973
2.303,0.071,0.112,0.972
2.306,0.073,0.109,0.972
2.309,0.074,0.109,0.967
2.312,0.065,0.114,0.962
2.317,0.068,0.114,0.963
2.325,0.064,0.115,0.964
2.330,0.065,0.121,0.966
2.330,0.060,0.118,0.968
2.333,0.063,0.121,0.968
2.352,0.061,0.122,0.971
2.352,0.057,0.121,0.975
2.353,0.061,0.124,0.976
2.353,0.054,0.124,0.980
2.353,0.051,0.126,0.983
2.356,0.048,0.125,0.979
2.360,0.050,0.130,0.968
2.364,0.051,0.132,0.962
2.369,0.048,0.138,0.961
2.372,0.048,0.140,0.954
2.384,0.045,0.145,0.952
2.385,0.043,0.148,0.948
2.388,0.039,0.148,0.953
2.389,0.039,0.150,0.956
2.392,0.032,0.149,0.954
2.396,0.029,0.156,0.957
2.400,0.028,0.155,0.956
2.404,0.030,0.153,0.958
2.408,0.028,0.154,0.962
2.412,0.024,0.158,0.963
2.415,0.019,0.156,0.971
2.423,0.019,0.161,0.976
2.424,0.022,0.161,0.983
2.427,0.015,0.158,0.991
2.431,0.014,0.157,0.995
2.444,0.013,0.152,0.996
2.445,0.013,0.146,0.998
2.445,0.009,0.144,0.989
2.447,0.001,0.141,0.993
2.455,-0.001,0.131,1.004
2.455,-0.013,0.133,1.015
2.459,-0.017,0.130,1.031
2.463,-0.025,0.132,1.042
2.467,-0.043,0.131,1.055
2.474,-0.056,0.136,1.064
2.475,-0.070,0.135,1.077
2.479,-0.077,0.141,1.083
2.483,-0.090,0.146,1.089
2.490,-0.098,0.144,1.089
2.490,-0.106,0.147,1.092
2.495,-0.111,0.146,1.084
2.498,-0.116,0.152,1.074
2.506,-0.119,0.154,1.063
2.506,-0.124,0.162,1.045
2.510,-0.124,0.161,1.032
2.525,-0.124,0.164,1.020
2.525,-0.125,0.171,1.004
2.525,-0.125,0.169,0.987
2.530,-0.122,0.166,0.976
2.531,-0.109,0.175,0.960
2.537,-0.098,0.180,0.940
2.538,-0.089,0.179,0.912
2.542,-0.080,0.181,0.888
2.546,-0.065,0.178,0.865
2.551,-0.048,0.174,0.845
2.554,-0.037,0.175,0.831
2.558,-0.027,0.170,0.820
2.562,-0.015,0.171,0.811
2.566,-0.005,0.165,0.805
2.571,0.003,0.160,0.803
2.574,0.008,0.157,0.810
2.577,0.011,0.150,0.817
2.581,0.020,0.146,0.831
2.586,0.025,0.138,0.847
2.589,0.033,0.130,0.861
2.593,0.041,0.119,0.873
2.597,0.045,0.114,0.890
2.602,0.057,0.110,0.900
2.605,0.066,0.099,0.910
2.609,0.078,0.095,0.919
2.613,0.083,0.090,0.926
2.617,0.089,0.088,0.928
2.624,0.097,0.090,0.930
2.625,0.111,0.088,0.932
2.655,0.116,0.088,0.919
2.656,0.116,0.084,0.910
2.656,0.117,0.090,0.900
2.656,0.123,0.097,0.892
2.656,0.129,0.097,0.883
2.656,0.125,0.107,0.872
2.656,0.123,0.105,0.868
2.658,0.123,0.111,0.863
2.661,0.116,0.116,0.867
2.665,0.111,0.118,0.877
2.670,0.107,0.126,0.889
2.673,0.104,0.117,0.914
2.676,0.101,0.119,0.938
2.680,0.102,0.116,0.968
2.687,0.099,0.101,0.983
2.688,0.103,0.096,1.005
2.692,0.103,0.090,1.020
2.696,0.104,0.079,1.030
2.700,0.108,0.077,1.043
2.704,0.107,0.067,1.053
2.708,0.110,0.063,1.063
