time,x,y,z
1.706,-0.045,0.032,1.012
1.711,-0.052,0.038,1.012
1.715,-0.049,0.033,1.006
1.730,-0.052,0.036,1.007
1.731,-0.052,0.035,0.998
1.731,-0.053,0.037,0.994
1.732,-0.048,0.037,0.997
1.775,-0.054,0.037,1.001
1.775,-0.050,0.037,0.999
1.776,-0.052,0.038,0.991
1.776,-0.052,0.040,0.992
1.776,-0.057,0.037,0.990
1.777,-0.054,0.036,0.992
1.777,-0.050,0.034,0.993
1.778,-0.056,0.035,0.996
1.778,-0.054,0.032,0.998
1.778,-0.058,0.032,1.008
1.779,-0.056,0.028,1.006
1.779,-0.054,0.030,1.017
1.782,-0.058,0.028,1.019
1.790,-0.057,0.028,1.021
1.791,-0.061,0.029,1.027
1.795,-0.056,0.029,1.029
1.798,-0.055,0.028,1.034
1.806,-0.055,0.032,1.033
1.807,-0.060,0.031,1.029
1.810,-0.059,0.030,1.024
1.814,-0.063,0.035,1.019
1.822,-0.064,0.034,1.013
1.823,-0.056,0.037,1.002
1.826,-0.055,0.037,0.993
1.830,-0.054,0.038,0.985
1.834,-0.054,0.034,0.980
1.844,-0.045,0.032,0.981
1.844,-0.045,0.034,0.984
1.845,-0.043,0.032,0.984
1.849,-0.043,0.029,0.988
1.871,-0.040,0.028,0.986
1.871,-0.039,0.030,0.989
1.872,-0.036,0.033,0.992
1.872,-0.035,0.034,0.995
1.872,-0.038,0.033,0.999
1.874,-0.032,0.034,0.996
1.877,-0.035,0.032,0.992
1.881,-0.039,0.033,0.986
1.884,-0.039,0.033,0.983
1.889,-0.043,0.033,0.975
1.893,-0.041,0.033,0.970
1.897,-0.035,0.031,0.962
1.900,-0.035,0.032,0.959
1.905,-0.036,0.029,0.959
1.908,-0.029,0.029,0.964
1.912,-0.028,0.018,0.957
1.916,-0.027,0.026,0.963
1.927,-0.032,0.019,0.968
1.927,-0.031,0.018,0.965
1.928,-0.032,0.018,0.969
1.932,-0.032,0.014,0.975
1.954,-0.027,0.006,0.981
1.954,-0.031,0.009,0.986
1.954,-0.030,0.002,0.999
1.954,-0.033,0.002,1.000
1.955,-0.032,0.001,0.997
1.965,-0.032,-0.003,0.994
1.965,-0.031,-0.002,0.993
1.965,-0.029,-0.002,0.992
1.968,-0.038,0.003,0.987
1.977,-0.040,0.002,0.983
1.977,-0.041,-0.004,0.980
1.988,-0.037,-0.001,0.974
1.989,-0.035,-0.007,0.971
1.989,-0.039,-0.004,0.975
1.997,-0.037,-0.003,0.984
1.997,-0.041,-0.006,0.986
1.999,-0.039,-0.007,0.985
2.022,-0.048,-0.004,0.984
2.023,-0.050,-0.007,0.986
2.023,-0.053,-0.011,0.989
2.023,-0.058,-0.007,0.992
2.023,-0.057,-0.008,0.998
2.023,-0.059,-0.011,0.999
2.027,-0.061,-0.008,1.004
2.031,-0.059,-0.008,1.008
2.035,-0.063,-0.009,1.008
2.041,-0.060,-0.010,1.010
2.042,-0.059,-0.007,1.012
2.047,-0.058,-0.002,1.003
2.051,-0.061,0.000,1.001
2.063,-0.060,-0.000,0.992
2.063,-0.056,0.001,0.985
2.063,-0.055,-0.000,0.979
2.067,-0.047,0.002,0.968
2.074,-0.052,0.003,0.965
2.075,-0.050,-0.000,0.954
2.078,-0.045,-0.000,0.952
2.082,-0.045,0.001,0.955
2.088,-0.043,-0.003,0.955
2.090,-0.045,-0.000,0.948
2.094,-0.046,-0.004,0.944
2.098,-0.049,-0.007,0.948
2.105,-0.049,-0.014,0.950
2.107,-0.054,-0.012,0.952
2.111,-0.054,-0.011,0.952
2.115,-0.046,-0.018,0.954
2.118,-0.040,-0.026,0.954
2.124,-0.037,-0.028,0.962
2.126,-0.041,-0.032,0.964
2.130,-0.042,-0.031,0.967
2.135,-0.047,-0.035,0.966
2.147,-0.039,-0.039,0.966
2.148,-0.038,-0.042,0.971
2.148,-0.035,-0.044,0.978
2.149,-0.039,-0.046,0.992
2.190,-0.038,-0.051,0.997
2.190,-0.039,-0.055,1.003
2.191,-0.036,-0.052,1.010
2.191,-0.031,-0.062,1.022
2.192,-0.029,-0.058,1.032
2.192,-0.030,-0.062,1.041
2.192,-0.035,-0.060,1.048
2.193,-0.030,-0.065,1.048
2.193,-0.032,-0.066,1.051
2.193,-0.029,-0.067,1.045
2.194,-0.024,-0.064,1.043
2.197,-0.024,-0.062,1.038
2.201,-0.026,-0.060,1.036
2.206,-0.031,-0.055,1.029
2.209,-0.040,-0.046,1.020
2.214,-0.028,-0.049,1.010
2.218,-0.024,-0.047,1.006
2.232,-0.029,-0.047,0.994
2.233,-0.032,-0.042,0.988
2.233,-0.029,-0.044,0.985
2.234,-0.025,-0.038,0.975
2.271,-0.020,-0.043,0.971
2.272,-0.020,-0.035,0.963
2.272,-0.020,-0.032,0.958
2.272,-0.013,-0.028,0.952
2.273,-0.010,-0.025,0.945
2.273,-0.006,-0.020,0.934
2.273,-0.007,-0.017,0.931
2.274,0.001,-0.016,0.919
2.274,0.001,-0.012,0.905
2.275,0.007,-0.004,0.898
2.276,0.012,-0.002,0.890
2.280,0.012,0.003,0.879
2.284,0.012,0.005,0.866
2.290,0.013,0.006,0.858
2.292,0.023,0.012,0.845
2.296,0.029,0.016,0.842
2.300,0.035,0.021,0.848
2.307,0.039,0.026,0.844
2.312,0.042,0.024,0.844
2.313,0.041,0.031,0.848
2.316,0.038,0.037,0.852
2.323,0.035,0.041,0.857
2.324,0.032,0.038,0.868
2.328,0.030,0.043,0.879
2.332,0.024,0.045,0.890
2.335,0.026,0.040,0.904
2.347,0.028,0.043,0.912
2.347,0.025,0.047,0.916
2.348,0.029,0.046,0.918
2.351,0.029,0.054,0.927
2.391,0.029,0.050,0.939
2.392,0.031,0.054,0.956
2.392,0.029,0.055,0.966
2.393,0.037,0.057,0.974
2.393,0.037,0.060,0.981
2.411,0.035,0.063,0.985
2.411,0.042,0.066,0.989
2.411,0.037,0.068,1.003
2.412,0.049,0.065,1.009
2.412,0.052,0.063,1.017
2.413,0.057,0.066,1.023
2.413,0.049,0.061,1.034
2.413,0.051,0.064,1.038
2.414,0.051,0.062,1.045
2.414,0.051,0.062,1.058
2.418,0.045,0.055,1.062
2.419,0.039,0.053,1.076
2.430,0.040,0.050,1.081
2.431,0.036,0.053,1.088
2.431,0.033,0.054,1.091
2.435,0.041,0.052,1.095
2.448,0.040,0.052,1.107
2.449,0.042,0.053,1.124
2.449,0.042,0.051,1.135
2.450,0.042,0.048,1.144
2.483,0.041,0.053,1.159
2.484,0.043,0.046,1.167
2.484,0.051,0.040,1.182
2.484,0.045,0.045,1.197
2.485,0.047,0.047,1.201
2.485,0.050,0.056,1.203
2.485,0.061,0.055,1.200
2.486,0.068,0.062,1.192
2.486,0.080,0.060,1.180
2.495,0.081,0.060,1.167
2.495,0.086,0.066,1.155
2.498,0.094,0.067,1.139
2.502,0.102,0.075,1.120
2.508,0.106,0.083,1.098
2.510,0.114,0.082,1.069
2.518,0.126,0.087,1.050
2.518,0.129,0.094,1.037
2.532,0.136,0.097,1.027
2.532,0.146,0.096,1.020
2.533,0.152,0.102,1.006
2.533,0.157,0.098,0.997
2.569,0.172,0.100,0.995
2.572,0.176,0.103,0.993
2.573,0.193,0.104,0.979
2.574,0.203,0.109,0.970
2.574,0.212,0.111,0.965
2.575,0.215,0.110,0.965
2.575,0.217,0.107,0.968
2.575,0.219,0.105,0.973
2.576,0.212,0.103,0.978
2.576,0.212,0.099,0.984
2.577,0.209,0.101,0.991
2.581,0.209,0.095,0.999
2.585,0.206,0.091,1.016
2.590,0.211,0.086,1.020
